Customer ID,Age,income_usd,credit Score,tenure_years,monthly_visits,satisfaction,City,customer_segment,gender,is_active,churn_flag,signup_date,lead_source,notes_text
CUST-01291,,48808.48633,681.4574541,11.81432278,5,4.756338578,,SMB,f,Y,No,2024-08-07,google_ads,good
CUST-01079,30.96097898,27522.10865,818.671871,8.738854538,10,4.23171984,Kolkata,,m,no,No,2024-01-04,website,N/A
CUST-00255,,,675 pts,7.952316122,,2.224855889,Chennai,SMB,f,1,No,2021-09-16,Unknown,good
CUST-00125,48.02133495,54158.95878,588.0973235,,6,3.58552691,Hyderabad,SMB,Female,no,No,2021-05-07,email,normal
CUST-01928,,25162.73291,,9.130118869,5,,Hyderabad,Enterprise,F,Yes,No,2026-05-18,email,VIP
CUST-00252,42.09866661,52501.78927,bad,0.4997454412,9,3.652277074,Bengaluru,SMB,,no,No,2021-09-13,Website,complaint!!!
CUST-00586,61.96755837,95033.16564,582.2348781,2.843017427,4,,Pune,Consumer,,Yes,No,,referral,
CUST-01569,,,607.2038751,5.19050364,6,4.466722245,,Consumer,Male,Yes,No,2025-05-17,Website,normal
CUST-00825,18,55278.19195,,0.630204964,4,2.732887552,Delhi,Consumer,M,,No,2023-04-20,referral,good customer
CUST-00508,43.21861126,,621.1142299,,6,3.084105256,Delhi,Enterprise,Male,No,No,2022-06-01,Social,
CUST-00890,,45809.42204,,2.913345022,2,3.775129587,Chennai,Consumer,m,No,No,2023-06-25,referral,good customer
CUST-00071,22.69176412,"$45,565",572 pts,4.185171923,4,3.724778702,Pune,Enterprise,M,N,No,2021-03-13,email,complaint!!!
CUST-01609,35.38778368,84767.93942,791.2995854,1.776487089,5,4.124191944,Pune,SMB,M,1,No,,Referral,
CUST-01533,,"$112,864",,,4,3.273274947,Bengaluru,Consumer,,no,,11/04/2025,website,late payment
CUST-00248,60.04296234,,602.5667391,,,1.96336009,Kolkata,SMB.,m,Yes,,2021-09-09,Email,
CUST-01451,34.09345986,,710.4221277,8.677136149,5,5,Bengaluru,,Female,Yes,No,2025-01-17,Referral,
CUST-00213,38.4 years,111917.3599,550.9990862,9.835380554,,2.827695058,Mumbai,Consumer,Female,Y,,2021-08-05,Unknown,
CUST-00910,25.0850576,74177.84625,745.5641917,7.494052239,10,5,Mumbai,,F,Y,No,2023-07-16,google_ads,
CUST-01742,55.72872398,36257.51741,502.8330675,8.778998324,9,3.146435927,,Consumer,m,yes,,2025-11-10,Social,follow-up needed
CUST-01245,50.5 years,71819.10971,,3.043429231,0,2.385726666,Bengaluru,Enterprise,M,no,,2024-06-21,Email,
CUST-01697,32.4 years,37440.18269,776.6413873,5.395755725,3,3.804110333,Bengaluru,SMB.,F,Y,Yes,2025-09-25,,???
CUST-01183,28.39745964,37177.48715,593.9269495,12.25445018,,4.287448718,Kolkata,consumer,M,,No,2024-04-19,Social,
CUST-00362,42.60072637,31766.75202,598.8068597,,7,2.527609943,,SMB.,Male,No,No,2022-01-03,email,
CUST-01474,N/A,74445.82028,850,4.039468342,64,4.783550428,Delhi,Consumer,M,Y,No,2025-02-10,Referral,
CUST-00679,42.6524377,20737.73917,647.6357513,5.093152133,6,,Pune,UNKNOWN,Male,yes,No,2022-11-22,Referral,VIP
CUST-01622,38.55868968,"$38,946",404.9161118,4.809389778,9,3.309773501,Pune,Enterprise,f,,No,2025-07-10,???,
CUST-01090,34.67959892,"$93,738",600.5830879,7.348802234,7,4.434007349,Chennai,Enterprise,F,Yes,,2024-01-15,Email,
CUST-01988,28.79339518,"$70,056",602.4320114,5.435723738,,,Delhi,Consumer,f,No,No,2026-07-18,referral,
CUST-01848,24.58033019,248156.7141,599.2365432,7.687234254,,,Bengaluru,,m,yes,No,26/02/2026,,late payment
CUST-00988,41.97248186,131582.6659,609.6479186,3.403737005,6,,Pune,consumer,,1,Yes,2023-10-03,google_ads,normal
CUST-01513,48.74726292,38987.45496,,2.417076824,5,3.103025053,Mumbai,SMB.,m,,,2025-03-21,Unknown,follow-up needed
CUST-00112,40.85282723,72263.69463,698.7849185,12.6949311,6,3.128351993,Delhi,Consumer,Female,N,No,2021-04-24,Social,N/A
CUST-01488,21.5239638,63648.38441,485.4881703,11.54267963,,,Pune,SMB,Male,0,Yes,2025-02-24,WEB,N/A
CUST-01454,33.3 years,81777.90853,619 pts,,,4.159361594,Bengaluru,,f,1,No,2025-01-20,email,
CUST-00384,22.98023343,41387.35343,690.3626429,6.613971762,8,3.876116638,Bengaluru,SMB,m,yes,No,not_a_date,website,good customer
CUST-01396,60.3 years,76549.20187,573.7504738,3.525039425,,2.585848398,Delhi,Consumer,F,0,No,2024-11-22,Email,ok
CUST-01055,,42913.51189,707.5246399,8.936285612,11,3.194544137,Chennai,Consumer,,Y,No,,google_ads,???
CUST-00756,51.6325842,28464.55492,777.6263499,7.888243492,2,2.747509724,Bengaluru,,f,1,No,2023-02-09,Referral,complaint!!!
CUST-00325,59.84775389,14827.28995,727.7950048,1.651800495,3,4.117641407,Delhi,,Male,No,,2021-11-27,google_ads,good
CUST-01624,52.10607892,98098.72529,758.2240801,2.131578003,,4.897644802,Hyderabad,,,Y,No,2025-07-12,Google Ads,good
CUST-00788,35.56503218,53318.88491,741.1570587,2.95472694,3,3.798039583,Kolkata,SMB,Male,N,No,2023-03-13,Unknown,
CUST-00369,40.4 years,33837.62632,,4.495137979,,3.36716003,,Enterprise,m,No,No,2022-01-10,Unknown,ok
CUST-01820,,46626.24795,639.3974521,7.313675303,3,,Pune,SMB.,Female,No,,2026-01-28,referral,ok
CUST-00070,35.7043481,49379.27597,842.571357,1.998767429,6,4.467190488,Chennai,Consumer,f,N,Yes,2021-03-12,referral,???
CUST-00858,43.09959077,,615.6378952,2.873356532,5,2.762642006,Kolkata,consumer,f,No,No,24/05/2023,Referral,late payment
CUST-01484,41.95932246,113052.8057,683.3175911,2.613295425,14,4.200909998,Pune,SMB,M,,No,2025-02-20,Unknown,good
CUST-01556,30.4595467,47862.67214,661.0909907,,6,3.871064458,Hyderabad,SMB,Female,No,Yes,,Social,normal
CUST-01692,19.129661,52470.39845,610.5691576,0.7481215139,,,Kolkata,SMB,Female,Y,No,2025-09-20,,follow-up needed
CUST-01475,35.71087448,"$26,771",,2.365494379,,5,Pune,SMB.,m,no,No,2025-02-11,Referral,N/A
CUST-01799,31.23834289,87260.15383,480.9543462,1.484019742,12,3.283290859,Mumbai,Enterprise,Female,Yes,No,,Email,good
CUST-00479,38.07606875,83639.44746,752.5974787,4.137341723,7,,Delhi,Consumer,M,,No,2022-05-03,referral,ok
CUST-00282,18,missing,,13.77636619,12,4.642871389,,Consumer,Female,No,Yes,14/10/2021,website,follow-up needed
CUST-01648,52.03445777,44307.50472,,,3,3.387480415,Delhi,Consumer,Male,1,No,,,???
CUST-01557,29.25667418,"$48,959",,5.946302047,5,,,Enterprise,Female,yes,No,2025-05-05,google_ads,late payment
CUST-01730,38.45027879,63003.28541,637.962696,5.920900447,4,,Hyderabad,SMB,,1,No,2025-10-28,referral,good customer
CUST-00211,48.99083051,84948.87437,686.7516421,10.28944869,12,3.554292548,Kolkata,Consumer,m,0,Yes,2021-08-02,Unknown,ok
CUST-00298,,"$36,410",700.9767094,3.72919339,6,3.757072314,Kolkata,,M,Yes,No,2021-10-30,website,good customer
CUST-01885,18.0 years,36296.72407,,3.053363667,7,3.30267691,,Consumer,f,yes,Yes,04/04/2026,referral,good customer
CUST-01834,42.97539542,,656.6443295,9.384833245,6,2.450502933,Bengaluru,,f,No,No,2026-02-11,Email,follow-up needed
CUST-00652,35.90992719,,,8.604354577,2,,Bengaluru,,Male,N,No,26/10/2022,Referral,late payment
CUST-01234,39.0380665,88739.20953,635 pts,,4,3.596811435,Mumbai,,,N,No,2024-06-10,website,good customer
CUST-01503,53.9 years,78026.38364,633.8299261,4.931433962,8,2.772186487,Delhi,Consumer,,Y,No,2025-03-11,,good
CUST-01932,,,645.8857785,2.462737711,4,,Chennai,Consumer,f,,No,2026-05-22,Email,
CUST-00917,,130854.9351,705.1786122,5.660887339,5,2.774263515,Pune,consumer,,0,No,not_a_date,website,???
CUST-00994,,204783.9818,,4.016699924,2,2.730603602,,UNKNOWN,F,no,Yes,2023-10-09,Social,normal
CUST-00430,42.71392962,,678 pts,4.52062745,4,,Bengaluru,UNKNOWN,Female,0,No,2022-03-14,,
CUST-01371,19.82294269,,685.7565109,7.01162561,4,3.296562534,Delhi,Consumer,F,0,No,2024-10-28,Email,VIP
CUST-00240,,,,8.398406418,6,4.010604534,Bengaluru,consumer,f,,No,2021-09-01,,normal
CUST-00880,37.66421052,68398.97653,694.395491,6.957001041,5,,Bengaluru,SMB,m,Yes,No,2023-06-15,Social,
CUST-00621,32.7 years,37744.03205,,3.788055139,7,3.301662664,Chennai,Consumer,Female,1,No,2022-09-24,Email,normal
CUST-00257,43.2 years,66018.21618,,2.000907849,7,,Delhi,,Female,,No,2021-09-18,,ok
CUST-00612,40.82331334,"$86,520",638.0401876,1.42929182,6,4.68802573,Mumbai,SMB,m,1,No,2022-09-15,Referral,
CUST-00545,34.95946917,53638.98928,814.1025775,6.234261262,5,4.665597823,Pune,Consumer,Male,1,Yes,09/07/2022,website,
CUST-00772,54.3106472,75529.4604,705.6173682,6.400546874,6,,Delhi,Consumer,f,Yes,Yes,2023-02-25,website,
CUST-01420,38.33626624,108088.4732,544.8510277,8.569293423,,3.769297435,Mumbai,Consumer,M,,No,2024-12-16,Referral,
CUST-01042,,,,1.857182944,4,,Chennai,SMB,Male,N,No,2023-11-27,Unknown,good customer
CUST-01790,50.1861826,"$41,941",643 pts,4.59049135,3,,Chennai,Enterprise,,1,Yes,2025-12-29,email,???
CUST-00760,,"$88,847",776.6006788,1.844711578,6,,Delhi,,f,0,No,2023-02-13,referral,good customer
CUST-00383,18.77288551,,790.9193428,8.295589413,,,Bengaluru,Enterprise,Female,yes,No,2022-01-25,,N/A
CUST-01104,44.23592688,785035.6703,665.7634476,3.276726156,10,,Chennai,Consumer,,,No,2024-01-29,website,ok
CUST-00974,45.4017704,,468.9758125,6.716498363,,5,Mumbai,Consumer,F,N,No,19/09/2023,,VIP
CUST-00353,,,811.8373169,,6,4.554007574,Pune,,m,no,Yes,2021-12-25,???,N/A
CUST-01606,54.29745315,85685.9017,530.5647762,2.399812539,4,3.652097124,,Consumer,Female,,No,2025-06-24,Email,N/A
CUST-01826,46.08553272,47781.11422,618.7616136,0.7363908297,6,,Delhi,UNKNOWN,f,No,No,2026-02-03,Email,
CUST-01037,,59373.3007,760.9898149,5.21807374,7,5,Bengaluru,consumer,m,1,No,2023-11-22,email,VIP
CUST-01108,28.46480654,59134.96182,,5.180274101,7,3.512931283,Kolkata,Consumer,m,yes,No,2024-02-03,Email,VIP
CUST-00495,34.3 years,100202.8018,722.4720167,5.191311868,4,4.139250864,Delhi,Enterprise,Female,0,No,2022-05-19,,ok
CUST-00394,43.51262926,65181.31105,547.06558,14.18503206,6,4.618085786,Bengaluru,,m,No,No,05/02/2022,email,follow-up needed
CUST-01547,18,132999.989,752.876803,2.815826176,6,4.788291212,,Enterprise,Male,no,No,2025-04-25,,
CUST-00465,N/A,37368.12085,700.4929517,0.9018368977,5,3.930014926,Delhi,SMB,Male,Yes,No,2022-04-18,referral,follow-up needed
CUST-00887,52.9 years,,714.8042669,2.328483855,,,Hyderabad,Consumer,Female,yes,No,2023-06-22,???,
CUST-01194,,28731.851,844.8628335,7.418979335,6,5,Delhi,Consumer,m,0,No,2024-04-30,google_ads,normal
CUST-00367,29.1 years,101799.1368,607.5578936,5.718690201,6,3.315592159,Hyderabad,Consumer,f,N,No,2022-01-08,Unknown,good customer
CUST-01894,18,30763.92171,787.4707111,3.556773151,7,3.08575969,Pune,Consumer,F,N,No,2026-04-13,Website,normal
CUST-01874,23.66761423,,,1.703148561,8,2.908338141,Bengaluru,Consumer,m,,No,2026-03-24,,ok
CUST-00745,39.18841785,96357.39949,452.8787763,6.478737439,7,,Mumbai,SMB,M,0,Yes,2023-01-29,website,normal
CUST-00530,56.77661626,,659.0300861,,9,,Hyderabad,Consumer,Female,0,No,2022-06-24,Website,
CUST-00803,42.13525886,"$88,960",626 pts,4.055395848,6,4.201081057,Delhi,Consumer,m,1,No,,Referral,VIP
CUST-01224,47.39070591,,546.5022831,8.46844466,5,2.685498966,Bengaluru,SMB,m,no,No,31/05/2024,Social,normal
CUST-01979,56.90099393,82823.89933,650.0298463,1.841262376,7,,Hyderabad,Consumer,,0,No,2026-07-09,,N/A
CUST-01906,24.1 years,211200.5187,615.1263741,7.559306143,7,,Pune,,,,No,2026-04-26,Email,VIP
CUST-01700,,28011.3667,698.8198104,6.09667525,5,4.420995755,Hyderabad,,Male,1,Yes,2025-09-28,,follow-up needed
CUST-01545,54.4 years,47504.04161,608.2396052,8.34250998,2,5,,SMB,f,Y,No,2025-04-23,email,urgent
CUST-01314,,59344.2996,,4.203718832,6,2.561689673,Mumbai,Consumer,f,0,No,,WEB,late payment
CUST-00307,33.98652593,159459.9568,661.0144091,14.559882,11,2.099117093,Hyderabad,,f,yes,No,2021-11-08,referral,good
CUST-01667,,55289.71704,497.0471108,3.284439519,5,,Hyderabad,consumer,m,no,No,2025-08-25,Unknown,VIP
CUST-00863,,35746.86617,,5.259657013,5,5,Hyderabad,SMB.,Female,,Yes,2023-05-29,???,complaint!!!
CUST-01567,,81603.719,472.9796974,2.429509513,4,2.623576237,Delhi,SMB,f,1,No,2025-05-15,Referral,normal
CUST-00531,33.65875427,103427.8449,598.1605488,4.65642843,5,3.493435151,Hyderabad,Consumer,Female,yes,No,2022-06-25,,VIP
CUST-00655,45.04711,54377.18568,711.6048563,5.02532201,9,4.411732586,Bengaluru,,f,0,Yes,2022-10-29,,
CUST-01260,32.21321026,45683.9403,,2.78546444,3,3.706412733,Bengaluru,,Male,,,not_a_date,Website,good customer
CUST-00234,52.47024345,131353.1347,686.973403,4.486720622,4,2.365946018,Mumbai,Consumer,f,0,Yes,26/08/2021,,
CUST-00121,25.71803009,74639.01131,,,10,3.191064832,Bengaluru,SMB,F,No,,,???,follow-up needed
CUST-01698,,"$50,211",703.3825577,4.363808636,7,4.235988977,Pune,,Male,,,2025-09-26,website,late payment
CUST-00950,18,"$104,630",,9.699628318,,,Delhi,Enterprise,Female,yes,No,2023-08-26,Google Ads,complaint!!!
CUST-00618,40.89973426,,633.1062745,0.6471022913,9,3.858336711,Pune,Consumer,m,0,,2022-09-21,Social,complaint!!!
CUST-01179,42.39451517,77652.4783,,5.985747626,3,4.083712093,Hyderabad,Consumer,Male,1,No,15/04/2024,,ok
CUST-00308,53.60053514,55406.11032,733 pts,,5,3.57120507,Mumbai,Enterprise,Male,,No,2021-11-09,Unknown,
CUST-00136,,45331.15665,,2.434249453,6,3.018121833,Bengaluru,Enterprise,m,no,Yes,2021-05-18,Referral,VIP
CUST-00555,37.0 years,68122.24828,,9.38954375,,3.264540707,Bengaluru,consumer,M,No,Yes,,Social,complaint!!!
CUST-01674,,18999.43465,,7.336065309,6,4.130741563,Kolkata,Consumer,Male,Yes,Yes,2025-09-01,Social,ok
CUST-00584,25.13440374,66302.51971,713.4530598,7.310288639,9,,Hyderabad,Consumer,M,,No,18/08/2022,email,
CUST-01641,20.34661719,23373.93491,none,2.927880649,5,3.77333137,,Enterprise,Male,1,No,2025-07-30,email,follow-up needed
CUST-00671,47.41812844,,,15.54492708,4,3.586327146,,SMB,,1,Yes,2022-11-14,,normal
CUST-00835,28.96529699,"$72,142",697.3233679,99999,7,3.449142749,Delhi,Consumer,F,,No,2023-04-30,???,VIP
,18,61780.99213,715.4452325,10.13700086,5,3.179152945,Delhi,UNKNOWN,Female,,No,2021-04-22,website,follow-up needed
CUST-01165,,38577.14554,733.0758232,2.176870287,6,3.835753753,Mumbai,UNKNOWN,F,N,No,,email,good
CUST-01960,,"$34,864",642.143527,1.060265071,3,,Delhi,Enterprise,,N,No,2026-06-20,email,urgent
CUST-01465,49.9 years,,501.4273464,11.29221078,11,4.025424196,,Enterprise,M,Y,,2025-01-31,email,VIP
CUST-01729,38.87930378,,653.7449314,1.121789936,6,3.618221632,Mumbai,Enterprise,f,N,Yes,,website,
CUST-01243,,63439.14858,635.6723389,0.890562959,3,2.274887517,Pune,Consumer,Female,N,Yes,2024-06-19,Social,
CUST-00212,,94264.54357,551.0296363,6.036018152,5,5,Mumbai,,m,N,No,2021-08-04,google_ads,late payment
CUST-01768,48.10552351,,607.3069867,12.23074028,0,4.268197545,Hyderabad,Consumer,m,Yes,No,2025-12-06,,good customer
CUST-01121,,,,2.749001989,5,,Hyderabad,Consumer,m,no,No,2024-02-16,,
CUST-00680,35.99686484,70600.04504,,4.397405237,8,2.548859735,Delhi,SMB.,F,no,No,2022-11-23,email,N/A
CUST-01951,38.7 years,36873.24722,806.0170735,7.684550518,,3.721460498,Chennai,,Male,,No,,Website,follow-up needed
CUST-01839,55.73934723,46157.66267,698.5761066,1.513734977,,3.33971133,Hyderabad,,m,,No,,Social,good customer
CUST-00412,,"$130,837",734.2786352,2.981891265,,4.061662975,Bengaluru,UNKNOWN,,Yes,No,2022-02-23,Google Ads,ok
CUST-01325,40.74524035,"$90,730",664.1082347,2.985551135,1,,,,Male,No,No,2024-09-11,Social,
CUST-00783,59.6 years,,801.7811855,5.916948388,2,3.63635102,Hyderabad,,f,Yes,Yes,2023-03-08,Referral,good customer
CUST-01346,65.71813307,48401.51929,793.0858011,3.809125494,5,4.387280192,Bengaluru,Consumer,,,No,2024-10-02,website,urgent
CUST-00875,18,,none,11.08898125,10,3.75081001,Pune,Enterprise,F,no,,2023-06-10,Unknown,
CUST-01653,,87936.16467,,4.914338755,2,3.036964348,,Consumer,m,0,Yes,2025-08-11,???,follow-up needed
CUST-01279,42.3643778,36084.36767,six hundred,4.563507714,3,4.250991192,Chennai,Enterprise,f,No,No,2024-07-26,Google Ads,
CUST-00786,40.98544772,57933.2613,,4.100558696,2,3.439309991,Chennai,,Male,Y,No,,Referral,VIP
CUST-01819,43.80778753,129739.189,658.0034183,4.519501473,6,3.343015651,Bengaluru,SMB,F,,No,2026-01-27,Email,ok
CUST-01199,55.8 years,,,1.182437393,,4.266160116,,,M,yes,Yes,,???,
CUST-00808,23.06952945,19178.16409,687.9885739,5.724393531,8,4.156954387,Delhi,Enterprise,f,0,No,2023-04-03,Email,
CUST-00713,25.57906263,,777.7960022,1.854709549,3,3.075819518,Bengaluru,,,yes,No,2022-12-27,referral,
CUST-01991,42.7 years,,795.8095526,4.436327218,8,4.898935245,,,Male,N,No,2026-07-21,,N/A
CUST-01660,39.54345911,55130.46066,600.7601033,5.296864002,,4.164910345,Kolkata,Consumer,f,No,No,18/08/2025,,
CUST-01191,56.38134669,25158.72397,623.2555624,16.30181911,10,3.410435812,Delhi,,Female,,No,2024-04-27,google_ads,???
CUST-01226,44.28741145,39715.63111,,7.069741368,10,,Hyderabad,,Female,yes,Yes,2024-06-02,Google Ads,follow-up needed
CUST-00603,53.2933666,419249.037,529.4760523,6.64043161,12,4.788142272,Delhi,Enterprise,F,yes,No,2022-09-06,Social,ok
CUST-00271,29.3413036,,622.3635147,1.190982244,,,Bengaluru,,M,No,No,2021-10-03,referral,???
CUST-01385,18,52821.58539,643.9692857,,7,4.527738295,Mumbai,,,Y,No,2024-11-11,Email,good customer
CUST-00232,30.91151583,30407.04893,611.6361615,3.810434162,8,3.218300917,,Enterprise,,,No,2021-08-24,WEB,good customer
CUST-00050,38.81094883,"$29,657",,6.321088941,8,3.382152681,Pune,SMB,Male,,No,2021-02-19,Website,???
CUST-00463,18.9 years,,544.8562068,,5,3.276911078,,SMB,Male,,Yes,2022-04-16,referral,
CUST-01106,46.40867788,,699.0209657,2.548093689,16,3.620199325,,SMB,Female,0,No,not_a_date,Unknown,complaint!!!
CUST-00856,38.16782266,130815.8151,787.5174061,7.298464927,7,3.889940969,Bengaluru,Consumer,f,N,Yes,2023-05-22,email,late payment
CUST-00694,18,44978.6959,758.2274811,2.843212858,,3.27051744,Bengaluru,SMB.,Male,,Yes,,,VIP
CUST-01552,29.30788977,28667.28655,588.6004953,4.514184748,6,2.973731782,,Consumer,M,1,No,2025-04-30,???,N/A
CUST-01873,30.60568712,42003.67413,,7.131251067,4,,Hyderabad,Consumer,M,Y,No,2026-03-23,google_ads,
CUST-00527,55.46054692,52922.36947,715.8261479,2.379415694,12,,Delhi,Enterprise,m,0,No,,Website,???
CUST-00174,,28168.41013,632.4063326,,1,5,Hyderabad,Enterprise,m,yes,Yes,2021-06-26,Google Ads,???
CUST-00721,36.84585276,60580.21994,713.2072508,7.56218461,6,4.569833939,Hyderabad,SMB,F,1,No,2023-01-04,google_ads,
CUST-00415,34.6 years,,688.0974036,5.289618595,4,3.742124808,Bengaluru,,,Yes,No,2022-02-26,Referral,good customer
CUST-00238,36.04800895,52338.24459,685.8993625,2.395344251,12,4.081958631,Delhi,,F,no,No,2021-08-30,,???
CUST-01473,,100471.1389,615.0478602,,7,3.518981779,Hyderabad,Consumer,F,Y,No,,Social,ok
CUST-01336,60.31393769,,549.4422924,,8,3.658685626,Bengaluru,,m,1,No,2024-09-22,,late payment
CUST-01064,,"$60,407",499.8407607,,6,4.679540942,Chennai,SMB,Male,Yes,Yes,2023-12-20,Website,
CUST-00024,,52928.60093,669.33739,4.124624414,7,5,,Consumer,m,yes,No,24/01/2021,Website,late payment
CUST-01767,23.4 years,91461.46568,756.4452375,2.772251775,7,3.66898768,Delhi,SMB,Female,no,Yes,2025-12-05,WEB,
CUST-00064,45.03466798,67772.82847,707.065612,9.036719125,8,3.377498694,Pune,Consumer,M,Yes,No,2021-03-06,Social,???
CUST-00290,,23061.0849,704.5933842,2.221742612,8,3.402432971,Hyderabad,Consumer,Female,yes,No,not_a_date,google_ads,ok
CUST-00189,21.58208961,,599.7202196,,9,1.995414777,Delhi,Consumer,F,,No,2021-07-11,???,good customer
CUST-00702,35.05927219,29835.79495,,3.81127584,7,,Bengaluru,consumer,m,Yes,No,2022-12-16,referral,follow-up needed
CUST-01815,40.04212332,₹55k,,0.9507675056,10,3.684819853,Chennai,SMB,Male,No,No,2026-01-23,Google Ads,
CUST-01138,38.44673404,98835.81424,488.7042538,3.65090238,8,3.714869443,Chennai,Consumer,Male,No,,2024-03-04,Social,ok
CUST-00355,,28659.40513,658.3453585,4.265362347,,2.235190713,Delhi,Consumer,F,1,No,27/12/2021,Website,
CUST-00417,51.07060996,,,6.94407152,6,,Kolkata,SMB.,m,Y,No,2022-02-28,Unknown,
CUST-01246,38.81583951,66198.60281,759.7883742,3.968841189,5,,Chennai,Enterprise,f,Y,Yes,2024-06-22,,
CUST-00931,38.07220017,,744.8852494,11.50979771,10,3.413439754,Delhi,SMB.,Female,1,Yes,2023-08-06,referral,complaint!!!
CUST-00197,45.71992154,49807.43762,496.784844,1.020984415,8,3.734964717,Delhi,Enterprise,Male,Yes,No,2021-07-19,Referral,ok
CUST-00580,,,639.7877041,12.44556403,6,,Bengaluru,SMB,,Y,,2022-08-14,,
